species_name,common_Name,order,family,actual_label,predicted_probability,zoonointel_score,risk_tier,missing_feature_percent,confidence_level,data_completeness_percent,total_missing_features,total_imputed_features,uncertainty_reason,top_driver_1,top_driver_2,top_driver_3
Camelus dromedarius,Dromedary Camel,Artiodactyla,Camelidae,1,0.841559156,84.16,Very High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Canis adustus,Side-striped Jackal,Carnivora,Canidae,1,0.650466398,65.05,High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Canis aureus,Golden Jackal,Carnivora,Canidae,1,0.88177093,88.18,Very High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Canis latrans,Coyote,Carnivora,Canidae,1,0.922344445,92.23,Very High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Canis lupus,Gray Wolf,Carnivora,Canidae,1,0.923492594,92.35,Very High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Bos frontalis,Gayal,Artiodactyla,Bovidae,1,0.654400696,65.44,High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Bos grunniens,Domestic Yak,Artiodactyla,Bovidae,1,0.512188724,51.22,High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Bos javanicus,Banteng,Artiodactyla,Bovidae,1,0.701712304,70.17,High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callicebus cupreus,Cupreus Titi Monkey,Primates,Pitheciidae,0,0.173850251,17.39,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callicebus discolor,Discolor Titi Monkey,Primates,Pitheciidae,0,0.037774056,3.78,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callicebus donacophilus,Donacophilus Titi Monkey,Primates,Pitheciidae,0,0.068321948,6.83,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callicebus dubius,Dubius Titi Monkey,Primates,Pitheciidae,0,0.037774056,3.78,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callicebus hoffmannsi,Hoffmanns’s Titi Monkey,Primates,Pitheciidae,0,0.051398517,5.14,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callicebus lucifer,Lucifer Titi Monkey,Primates,Pitheciidae,0,0.037774056,3.78,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callicebus lugens,Lugens Titi Monkey,Primates,Pitheciidae,0,0.037774056,3.78,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callicebus medemi,Medem’s Titi Monkey,Primates,Pitheciidae,0,0.050245374,5.02,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callicebus melanochir,Melanochir Titi Monkey,Primates,Pitheciidae,0,0.217427962,21.74,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Callicebus modestus,Modestus Titi Monkey,Primates,Pitheciidae,0,0.059268823,5.93,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Caluromys derbianus,Derbianus Caluromys,Didelphimorphia,Didelphidae,1,0.529300843,52.93,High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Caluromys lanatus,Lanatus Caluromys,Didelphimorphia,Didelphidae,0,0.275136886,27.51,Moderate,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Caluromys philander,Philander Caluromys,Didelphimorphia,Didelphidae,1,0.411845132,41.18,Moderate,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Caluromysiops irrupta,Irrupta Caluromysiops,Didelphimorphia,Didelphidae,0,0.037500275,3.75,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Calyptophractus retusus,Retusus Calyptophractus,Cingulata,Dasypodidae,0,0.138345746,13.83,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Camelus bactrianus,Bactrian Camel,Artiodactyla,Camelidae,1,0.841559156,84.16,Very High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Bos sauveli,Kouprey,Artiodactyla,Bovidae,0,0.35125344,35.13,Moderate,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Bos taurus,Domestic Cattle,Artiodactyla,Bovidae,1,0.383185887,38.32,Moderate,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Boselaphus tragocamelus,Nilgai,Artiodactyla,Bovidae,1,0.656821891,65.68,High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Brachiones przewalskii,Przewalski’s Brachiones,Rodentia,Muridae,0,0.211864691,21.19,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Canis mesomelas,Black-backed Jackal,Carnivora,Canidae,1,0.692972073,69.3,High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Canis simensis,Ethiopian Wolf,Carnivora,Canidae,1,0.447790364,44.78,Moderate,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Cannomys badius,Badius Cannomys,Rodentia,Spalacidae,0,0.08757095,8.76,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
